Country,Currency,Name,Google Finance Symbol,Yahoo! Finance Symbol
Argentina,ARS,Buenos Aires Stock Exchange,BUE,BA
Australia,AUD,Australian Stock Exchange,ASX,AX
Austria,EUR,Vienna Stock Exchange,,VI
Bermuda,BMD,Bermuda Stock Exchange,BSX,BE
Brazil,BRL,BOVESPA - Sao Paolo Stock Exchange,SAO,SA
Canada,CAD,Canada National Stock Exchange,CNQ,
Canada,CAD,Toronto Stock Exchange,TSE,TO
Canada,CAD,TSX Venture Exchange,CVE,V 
Chile,CLP,Santiago Stock Exchange,SCL,SN
China,HKD,Hong Kong Stock Exchange,HKG,HK
China,CNY,Shanghai Stock Exchange,SHA,SS
China,CNY,Shenzhen Stock Exchange,SHE,SZ
Denmark,DKK,Copenhagen Stock Exchange,,CO
France,EUR,Euronext,,NX
France,EUR,Paris Stock Exchange,,PA
Germany,EUR,Berlin Stock Exchange,,BE
Germany,EUR,Bremen Stock Exchange,,BM
Germany,EUR,Dusseldorf Stock Exchange,,DU
Germany,EUR,Frankfurt Stock Exchange,,F
Germany,EUR,Hamburg Stock Exchange,,HM
Germany,EUR,Hanover Stock Exchange,,HA
Germany,EUR,Munich Stock Exchange,,MU
Germany,EUR,Stuttgart Stock Exchange,,SG
Germany,EUR,XETRA Stock Exchange,ETR,DE
India,INR,National Stock Exchange of India,NSE,NS
India,INR,Bombay Stock Exchange,BOM,BO
Indonesia,IDR,Jakarta Stock Exchange,JAK,JK
Israel,ILS,Tel Aviv Stock Exchange,TLV,TA
Italy,EUR,Milan Stock Exchange,,MI
Malaysia,MYR,Malaysia Exchange,KUL,KL
Mexico,MXN,Mexico Stock Exchange,MXK,MX
Netherlands,EUR,Amsterdam Stock Exchange,,AS
New Zealand,NZD,New Zealand Stock Exchange,NZE,NZ
Norway,NOK,Oslo Stock Exchange,,OL
Singapore,SGD,Singapore Stock Exchange,SIN,SI
South Korea,KRW,Korea Stock Exchange,SEO,KS
South Korea,KRW,KOSDAQ,KDQ,KQ
Spain,EUR,Barcelona Stock Exchange,,BC
Spain,EUR,Bilbao Stock Exchange,,BI
Spain,EUR,Madrid Fixed Income Market,,MF
Spain,EUR,Madrid SE C.A.T.S.,,MC
Spain,EUR,Madrid Stock Exchange,,MA
Sweden,SEK,Stockholm Stock Exchange,,ST
Switzerland,CHF,Swiss Exchange,,SW
Taiwan,TWD,Taiwan Stock Exchange,TPE,TW
Taiwan,TWD,Taiwan OTC Exchange,,TWO
United Kingdom,GBP,London Stock Exchange,LON,L
United States,USD,American Stock Exchange,AMEX,AMEX
United States,USD,NASDAQ OMX BX,NASDAQ,NASDAQ
United States,USD,NASDAQ,NASDAQ,NASDAQ
United States,USD,New York Stock Exchange,NYSE,NYSE
United States,USD,NASDAQ OMX PHLX,NASDAQ,NASDAQ
United States,USD,Chicago Board of Trade,,CBT
United States,USD,Chicago Mercantile Exchange,,CME
United States,USD,New York Board of Trade,,NYB
United States,USD,New York Commodities Exchange,,CMX
United States,USD,New York Mercantile Exchange,,NYM
United States,USD,OTC Bulletin Board Market,,OB
United States,USD,Pink Sheets,,PK
